route_id,origin,destination,distance_nm,transit_days,transshipments,route_type,base_freight_usd
R0001,Chennai,Mumbai,875,4,0,Economy,450
R0002,Chennai,Kochi,842,7,1,Standard,450
R0003,Chennai,Colombo,890,3,0,Alternative,450
R0004,Chennai,Singapore,2526,8,0,Standard,691
R0005,Chennai,Shanghai,2388,8,1,Alternative,717
R0006,Chennai,Ningbo,2528,8,1,Alternative,888
R0007,Chennai,Busan,2449,10,1,Standard,957
R0008,Chennai,Hong Kong,2572,10,1,Express,1045
R0009,Chennai,Dubai,2323,14,3,Alternative,1338
R0010,Chennai,Rotterdam,6776,23,1,Express,2123
R0011,Chennai,Hamburg,6522,19,1,Economy,2083
R0012,Chennai,Antwerp,6988,21,0,Standard,2048
R0013,Chennai,London,7357,24,1,Express,2377
R0014,Chennai,Felixstowe,6517,19,0,Express,1975
R0015,Chennai,Piraeus,7259,22,1,Economy,2249
R0016,Chennai,Barcelona,6829,20,1,Express,1774
R0017,Chennai,Genoa,6684,22,1,Alternative,2164
R0018,Chennai,New York,11654,33,0,Alternative,3385
R0019,Chennai,Los Angeles,10361,32,1,Express,3781
R0020,Chennai,Long Beach,11676,31,0,Alternative,2880
R0021,Chennai,Sydney,4978,16,1,Alternative,1354
R0022,Chennai,Melbourne,5229,19,1,Express,1831
R0023,Chennai,Vancouver,11792,37,2,Standard,4528
R0024,Chennai,Durban,5088,20,3,Economy,2060
R0025,Chennai,Cape Town,4903,12,0,Alternative,1240
R0026,Chennai,Jeddah,2250,7,1,Standard,895
R0027,Chennai,Muscat,2247,7,1,Standard,764
R0028,Chennai,Suez,2265,10,1,Express,768
R0029,Chennai,Port Klang,2640,10,1,Economy,758
R0030,Mumbai,Chennai,936,7,2,Express,751
R0031,Mumbai,Kochi,831,3,1,Express,450
R0032,Mumbai,Colombo,937,6,1,Standard,450
R0033,Mumbai,Singapore,2663,10,1,Alternative,1025
R0034,Mumbai,Shanghai,2555,11,1,Alternative,1107
R0035,Mumbai,Ningbo,2621,7,0,Economy,611
R0036,Mumbai,Busan,2616,9,1,Express,964
R0037,Mumbai,Hong Kong,2479,14,2,Express,982
R0038,Mumbai,Dubai,2247,8,1,Alternative,966
R0039,Mumbai,Rotterdam,7123,22,0,Economy,1908
R0040,Mumbai,Hamburg,6535,25,2,Standard,2649
R0041,Mumbai,Antwerp,6663,21,0,Economy,1776
R0042,Mumbai,London,7500,25,2,Economy,2580
R0043,Mumbai,Felixstowe,7252,19,0,Alternative,2139
R0044,Mumbai,Piraeus,7343,22,0,Economy,1972
R0045,Mumbai,Barcelona,7054,22,0,Standard,2186
R0046,Mumbai,Genoa,7030,22,0,Economy,1768
R0047,Mumbai,New York,10491,31,1,Alternative,2941
R0048,Mumbai,Los Angeles,10694,34,1,Economy,2820
R0049,Mumbai,Long Beach,10743,34,1,Economy,3642
R0050,Mumbai,Sydney,5226,19,1,Standard,1903
R0051,Mumbai,Melbourne,4787,19,3,Alternative,2205
R0052,Mumbai,Vancouver,10332,30,0,Express,2980
R0053,Mumbai,Durban,5018,14,0,Standard,1307
R0054,Mumbai,Cape Town,4491,16,1,Standard,1697
R0055,Mumbai,Jeddah,2333,10,1,Alternative,889
R0056,Mumbai,Muscat,2518,11,1,Alternative,1163
R0057,Mumbai,Suez,2564,11,1,Alternative,759
R0058,Mumbai,Port Klang,2457,10,1,Standard,835
R0059,Kochi,Chennai,924,11,3,Standard,1077
R0060,Kochi,Mumbai,921,4,1,Alternative,450
R0061,Kochi,Colombo,860,5,0,Economy,450
R0062,Kochi,Singapore,2633,10,0,Economy,723
R0063,Kochi,Shanghai,2378,10,1,Standard,793
R0064,Kochi,Ningbo,2483,11,2,Standard,1062
R0065,Kochi,Busan,2505,10,0,Standard,793
R0066,Kochi,Hong Kong,2651,7,0,Express,874
R0067,Kochi,Dubai,2312,9,0,Economy,704
R0068,Kochi,Rotterdam,6730,20,0,Economy,1614
R0069,Kochi,Hamburg,7336,23,0,Economy,1904
R0070,Kochi,Antwerp,7151,25,3,Express,2669
R0071,Kochi,London,6736,17,0,Economy,2286
R0072,Kochi,Felixstowe,7478,21,1,Alternative,2644
R0073,Kochi,Piraeus,6563,17,0,Express,1655
R0074,Kochi,Barcelona,7144,22,1,Alternative,2181
R0075,Kochi,Genoa,6743,28,3,Standard,1890
R0076,Kochi,New York,11410,35,1,Alternative,3147
R0077,Kochi,Los Angeles,10307,36,3,Economy,3971
R0078,Kochi,Long Beach,10812,34,1,Express,3842
R0079,Kochi,Sydney,4949,18,2,Alternative,1553
R0080,Kochi,Melbourne,5480,17,0,Standard,1791
R0081,Kochi,Vancouver,10407,31,0,Economy,3161
R0082,Kochi,Durban,4876,16,2,Express,1557
R0083,Kochi,Cape Town,4758,18,1,Express,1843
R0084,Kochi,Jeddah,2332,6,0,Express,583
R0085,Kochi,Muscat,2355,9,1,Express,823
R0086,Kochi,Suez,2506,9,0,Express,616
R0087,Kochi,Port Klang,2317,6,0,Express,592
R0088,Colombo,Chennai,966,10,3,Alternative,1273
R0089,Colombo,Mumbai,914,10,3,Express,776
R0090,Colombo,Kochi,932,5,2,Alternative,956
R0091,Colombo,Singapore,2505,12,1,Alternative,1029
R0092,Colombo,Shanghai,2634,16,3,Standard,1759
R0093,Colombo,Ningbo,2584,10,2,Alternative,1132
R0094,Colombo,Busan,2444,9,0,Economy,712
R0095,Colombo,Hong Kong,2308,9,1,Alternative,836
R0096,Colombo,Dubai,2235,10,1,Standard,818
R0097,Colombo,Rotterdam,6971,28,3,Standard,2662
R0098,Colombo,Hamburg,6670,23,2,Economy,2259
R0099,Colombo,Antwerp,7460,24,1,Standard,2362
R0100,Colombo,London,7112,23,1,Express,2437
R0101,Colombo,Felixstowe,7076,18,0,Economy,1837
R0102,Colombo,Piraeus,6551,18,0,Economy,1879
R0103,Colombo,Barcelona,6962,28,3,Standard,2559
R0104,Colombo,Genoa,7536,23,1,Standard,2026
R0105,Colombo,New York,11824,35,1,Express,4250
R0106,Colombo,Los Angeles,10491,30,1,Standard,3361
R0107,Colombo,Long Beach,10753,34,1,Express,3464
R0108,Colombo,Sydney,5198,15,1,Economy,1423
R0109,Colombo,Melbourne,5351,19,1,Express,1672
